Domain,Human,Claude Sonnet 4.5,GPT-4o,GPT-5.1,Llama 3.1 8B,Llama 3.1 8B (FT),Mistral 7B,Qwen 3 4B
Aesthetics,0.018969960939140235,0.03900969529085872,0.0042866941015089165,0.0020138888888888884,0.010562935114101843,0.027966767566568046,0.03469187388948727,0.028683337570613494
Epistemology,0.10626052367708298,0.04834073465424438,0.017969198355377636,0.015818272662859807,0.028919629515413898,0.030786823888171527,0.021821612086730943,0.015415727213091965
Meta-philosophy,0.138501492194674,,,,,,,
Metaethics,0.09396284435107176,0.05847957361143353,0.040003779849376524,0.040338934459066965,0.013034470041990013,0.005412155055346591,0.025628289994905126,0.011299543238924417
Metaphysics,0.08266923219854835,0.03418308266173969,0.02092546595653813,0.018217270534460504,0.0027093831678119034,0.00876274984687589,0.016441454081632653,0.0013440672627322268
Normative Ethics,0.032967906469771255,0.036193178523992245,0.03781249999999999,0.03906250000000001,0.03062783278839376,0.015162721893491125,0.07758588269302548,0.012640736474435199
Other,0.07196555682927719,0.02230104753606632,0.017547293706320237,0.016363276519341316,0.015808355463916825,0.01554899049175461,0.02226892005097734,0.017226614605465387
Philosophy of Language,0.13049876543209876,0.06774362103550337,0.0029296875,0.0019342287122168138,0.035442922493450976,0.04633388429752066,0.241704571374901,0.06021191466068891
Philosophy of Mind,0.14647957316980698,0.028976968686644188,0.025422667769809542,0.025950750659008814,0.02680727300017589,0.020916274461120838,0.017043893931221386,0.025292285772070575
Philosophy of Religion,0.16346779349522647,0.049337913904614464,0.04976222826086957,0.0521303040813967,0.0822176054170514,0.018993746131013792,0.040000000000000015,0.004639705978182956
Political Philosophy,0.14859375,0.012593060583293486,0.002013888888888888,0.0024956597222222225,0.016360949521486205,0.0,0.0026147460937500006,0.005886426592797788
Value Theory,0.08967182209910743,0.09375,0.030612244897959186,0.02469135802469136,,,,0.002968750000000001
